# kapture format: 1.1
# sensor_id, name, sensor_type, [sensor_params]+
sensor0, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor43, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor44, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor45, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor46, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor47, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor48, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor49, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor50, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor51, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor52, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor53, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor54, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor55, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor56, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor57, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor58, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor59, , camera, SIMPLE_RADIAL, 1600, 1200, 1199.91, 800, 600, -0.0324314
sensor60, , camera, SIMPLE_RADIAL, 1600, 1200, 1199.91, 800, 600, -0.0324314
sensor61, , camera, SIMPLE_RADIAL, 1600, 1200, 1199.91, 800, 600, -0.0324314
sensor62, , camera, SIMPLE_RADIAL, 1600, 1200, 1199.91, 800, 600, -0.0324314
sensor63, , camera, SIMPLE_RADIAL, 1600, 1200, 1199.91, 800, 600, -0.0324314
sensor64, , camera, SIMPLE_RADIAL, 1600, 1200, 1199.91, 800, 600, -0.0324314
sensor65, , camera, SIMPLE_RADIAL, 1600, 1200, 1199.91, 800, 600, -0.0324314
sensor66, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor67, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor68, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor69, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor70, , camera, SIMPLE_RADIAL, 768, 1024, 971.838, 384, 512, -0.00177789
sensor71, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor72, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor73, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor74, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor75, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor76, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor77, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor78, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor79, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor80, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor81, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor82, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor83, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor84, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor85, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor86, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor87, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor88, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor89, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor90, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor91, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor92, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor93, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor94, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor95, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor96, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor97, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor98, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor99, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor100, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor101, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor102, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor103, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor104, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor105, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor106, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor107, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor108, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor109, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor110, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor111, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor112, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor113, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor114, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor115, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor116, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor117, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor118, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor119, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor120, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor121, , camera, SIMPLE_RADIAL, 768, 1024, 971.838, 384, 512, -0.00177789
sensor122, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor123, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor124, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor125, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor126, , camera, SIMPLE_RADIAL, 1200, 1600, 1195.8, 600, 800, 0.0142778
sensor127, , camera, SIMPLE_RADIAL, 1600, 1200, 1199.91, 800, 600, -0.0324314
sensor128, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor129, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor130, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor131, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor132, , camera, SIMPLE_RADIAL, 1200, 1600, 1195.8, 600, 800, 0.0142778
sensor133, , camera, SIMPLE_RADIAL, 1600, 1200, 1199.91, 800, 600, -0.0324314
sensor134, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor135, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor136, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor137, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor138, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor139, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor140, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor141, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor142, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor143, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor144, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor145, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor146, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor147, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor148, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor149, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor150, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor151, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor152, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor153, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor154, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor155, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor156, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor157, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor158, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor159, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor160, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor161, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor162, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor163, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor164, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor165, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor166, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor167, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor168, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor169, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor170, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor171, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor172, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor173, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor174, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor175, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor176, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor177, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor178, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor179, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor180, , camera, SIMPLE_RADIAL, 768, 1024, 971.838, 384, 512, -0.00177789
sensor181, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor182, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor183, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor184, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor185, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor186, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor187, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor188, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor189, , camera, SIMPLE_RADIAL, 1600, 1200, 1199.91, 800, 600, -0.0324314
sensor190, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor191, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor192, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor193, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor194, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor195, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor196, , camera, SIMPLE_RADIAL, 768, 1024, 971.838, 384, 512, -0.00177789
sensor197, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor198, , camera, SIMPLE_RADIAL, 1600, 1200, 1199.91, 800, 600, -0.0324314
sensor199, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor200, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor201, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor202, , camera, SIMPLE_RADIAL, 768, 1024, 971.838, 384, 512, -0.00177789
sensor203, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor204, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor205, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor206, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor207, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor208, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor209, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor210, , camera, SIMPLE_RADIAL, 768, 1024, 971.838, 384, 512, -0.00177789
sensor211, , camera, SIMPLE_RADIAL, 1600, 1200, 1199.91, 800, 600, -0.0324314
sensor212, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor213, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor214, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor215, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor216, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor217, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor218, , camera, SIMPLE_RADIAL, 768, 1024, 971.838, 384, 512, -0.00177789
sensor219, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor220, , camera, SIMPLE_RADIAL, 768, 1024, 971.838, 384, 512, -0.00177789
sensor221, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor222, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor223, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor224, , camera, SIMPLE_RADIAL, 768, 1024, 971.838, 384, 512, -0.00177789
sensor225, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor226, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor227, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor228, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor229, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor230, , camera, SIMPLE_RADIAL, 1600, 1200, 1199.91, 800, 600, -0.0324314
sensor231, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor232, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor233, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor234, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor235, , camera, SIMPLE_RADIAL, 768, 1024, 971.838, 384, 512, -0.00177789
sensor236, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor237, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor238, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor239, , camera, SIMPLE_RADIAL, 768, 1024, 971.838, 384, 512, -0.00177789
sensor240, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor241, , camera, SIMPLE_RADIAL, 768, 1024, 971.838, 384, 512, -0.00177789
sensor242, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor243, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor244, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor245, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor246, , camera, SIMPLE_RADIAL, 1600, 1200, 1199.91, 800, 600, -0.0324314
sensor247, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor248, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor249, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor250, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor251, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor252, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor253, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor254, , camera, SIMPLE_RADIAL, 768, 1024, 971.838, 384, 512, -0.00177789
sensor255, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor256, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor257, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor258, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor259, , camera, SIMPLE_RADIAL, 768, 1024, 971.838, 384, 512, -0.00177789
sensor260, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor261, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor262, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor263, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor264, , camera, SIMPLE_RADIAL, 768, 1024, 971.838, 384, 512, -0.00177789
sensor265, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor266, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor267, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor268, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor269, , camera, SIMPLE_RADIAL, 768, 1024, 971.838, 384, 512, -0.00177789
sensor270, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor271, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor272, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor273, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor274, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor275, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor276, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor277, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor278, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor279, , camera, SIMPLE_RADIAL, 768, 1024, 971.838, 384, 512, -0.00177789
sensor280, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor281, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor282, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor283, , camera, SIMPLE_RADIAL, 768, 1024, 971.838, 384, 512, -0.00177789
sensor284, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor285, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
