# kapture format: 1.1
# sensor_id, name, sensor_type, [sensor_params]+
cam_02733, , camera, SIMPLE_RADIAL, 1200, 1600, 1833.43, 600, 800, -0.175888
cam_02877, , camera, SIMPLE_RADIAL, 1600, 1200, 1828.62, 800, 600, -0.180125
cam_02875, , camera, SIMPLE_RADIAL, 1600, 1200, 1820.93, 800, 600, -0.177641
cam_02874, , camera, SIMPLE_RADIAL, 1600, 1200, 1839.07, 800, 600, -0.180024
cam_02873, , camera, SIMPLE_RADIAL, 1600, 1200, 1828.48, 800, 600, -0.185992
cam_02871, , camera, SIMPLE_RADIAL, 1600, 1200, 1825.99, 800, 600, -0.179298
cam_02869, , camera, SIMPLE_RADIAL, 1600, 1200, 1810.51, 800, 600, -0.160825
cam_02866, , camera, SIMPLE_RADIAL, 1200, 1600, 1802.53, 600, 800, -0.18128
cam_02865, , camera, SIMPLE_RADIAL, 1200, 1600, 1805.18, 600, 800, -0.191033
cam_02858, , camera, SIMPLE_RADIAL, 1200, 1600, 1807.71, 600, 800, -0.185081
cam_03113, , camera, SIMPLE_RADIAL, 1600, 1067, 1312.77, 800, 533.5, -0.0903878
cam_02854, , camera, SIMPLE_RADIAL, 1200, 1600, 1788.25, 600, 800, -0.15342
cam_01113, , camera, SIMPLE_RADIAL, 1063, 1600, 1249.46, 531.5, 800, -0.133375
cam_04852, , camera, SIMPLE_RADIAL, 1600, 1200, 1525.02, 800, 600, -0.0297597
cam_02853, , camera, SIMPLE_RADIAL, 1200, 1600, 1816.37, 600, 800, -0.171672
cam_01112, , camera, SIMPLE_RADIAL, 1600, 1063, 1251.53, 800, 531.5, -0.116199
cam_04851, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
cam_02851, , camera, SIMPLE_RADIAL, 1200, 1600, 1825.34, 600, 800, -0.188768
cam_02380, , camera, SIMPLE_RADIAL, 1600, 1067, 1460.23, 800, 533.5, -0.097017
cam_01110, , camera, SIMPLE_RADIAL, 1600, 1200, 1553.39, 800, 600, -0.0760681
cam_04849, , camera, SIMPLE_RADIAL, 1600, 1200, 1474.78, 800, 600, -0.0196018
cam_02850, , camera, SIMPLE_RADIAL, 1200, 1600, 1800.42, 600, 800, -0.169848
cam_04472, , camera, SIMPLE_RADIAL, 1600, 1067, 1859.74, 800, 533.5, -0.0739122
cam_04848, , camera, SIMPLE_RADIAL, 1600, 1200, 1524.49, 800, 600, -0.04117
cam_02849, , camera, SIMPLE_RADIAL, 1200, 1600, 1818.85, 600, 800, -0.18044
cam_04847, , camera, SIMPLE_RADIAL, 1600, 1200, 1455.2, 800, 600, -0.0338729
cam_02848, , camera, SIMPLE_RADIAL, 1200, 1600, 1819.61, 600, 800, -0.171476
cam_01107, , camera, SIMPLE_RADIAL, 1200, 1600, 1556.98, 600, 800, -0.0710627
cam_04846, , camera, SIMPLE_RADIAL, 1600, 1200, 1472.74, 800, 600, -0.0356748
cam_00729, , camera, SIMPLE_RADIAL, 1200, 1600, 1544.31, 600, 800, -0.0739031
cam_01105, , camera, SIMPLE_RADIAL, 1200, 1600, 1546.52, 600, 800, -0.0724456
cam_04844, , camera, SIMPLE_RADIAL, 1600, 1200, 1464.78, 800, 600, -0.0329583
cam_02845, , camera, SIMPLE_RADIAL, 1200, 1600, 1817.23, 600, 800, -0.204966
cam_01104, , camera, SIMPLE_RADIAL, 1200, 1600, 1558.18, 600, 800, -0.0749131
cam_04843, , camera, SIMPLE_RADIAL, 1600, 1200, 1461.21, 800, 600, 0.00281816
cam_02843, , camera, SIMPLE_RADIAL, 1200, 1600, 1808.29, 600, 800, -0.171543
cam_04841, , camera, SIMPLE_RADIAL, 1200, 1600, 1461.47, 600, 800, -0.0198938
cam_02842, , camera, SIMPLE_RADIAL, 1200, 1600, 1811.18, 600, 800, -0.174793
cam_01101, , camera, SIMPLE_RADIAL, 1067, 1600, 2137.82, 533.5, 800, -0.0496716
cam_04840, , camera, SIMPLE_RADIAL, 1600, 1200, 1462.56, 800, 600, -0.0158518
cam_02841, , camera, SIMPLE_RADIAL, 1200, 1600, 1812.72, 600, 800, -0.16809
cam_01100, , camera, SIMPLE_RADIAL, 1600, 1200, 1550.36, 800, 600, -0.0732056
cam_04839, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
cam_02840, , camera, SIMPLE_RADIAL, 1200, 1600, 1821.09, 600, 800, -0.158822
cam_01099, , camera, SIMPLE_RADIAL, 1600, 1200, 1551.18, 800, 600, -0.0751285
cam_04838, , camera, SIMPLE_RADIAL, 1024, 768, 963.311, 512, 384, 0.0257837
cam_02839, , camera, SIMPLE_RADIAL, 1200, 1600, 1816.65, 600, 800, -0.166806
cam_01098, , camera, SIMPLE_RADIAL, 1600, 1200, 1553.35, 800, 600, -0.0739806
cam_04837, , camera, SIMPLE_RADIAL, 768, 1024, 977.751, 384, 512, 0.0192728
cam_02838, , camera, SIMPLE_RADIAL, 1200, 1600, 1820.54, 600, 800, -0.1847
cam_01097, , camera, SIMPLE_RADIAL, 1600, 1200, 1556.7, 800, 600, -0.0754518
cam_04836, , camera, SIMPLE_RADIAL, 1024, 768, 1002.42, 512, 384, 0.0380249
cam_02837, , camera, SIMPLE_RADIAL, 1200, 1600, 1807.13, 600, 800, -0.183949
cam_01096, , camera, SIMPLE_RADIAL, 1200, 1600, 1555.03, 600, 800, -0.0763232
cam_04835, , camera, SIMPLE_RADIAL, 1024, 768, 966.34, 512, 384, 0.0482241
cam_02836, , camera, SIMPLE_RADIAL, 1200, 1600, 1823.48, 600, 800, -0.191919
cam_01095, , camera, SIMPLE_RADIAL, 1600, 1200, 1562.18, 800, 600, -0.0760417
cam_04834, , camera, SIMPLE_RADIAL, 1024, 768, 971.636, 512, 384, 0.0625682
cam_01094, , camera, SIMPLE_RADIAL, 1200, 1600, 1556.77, 600, 800, -0.0787434
cam_04833, , camera, SIMPLE_RADIAL, 1024, 768, 972.232, 512, 384, 0.0509325
cam_02834, , camera, SIMPLE_RADIAL, 1200, 1600, 1820.33, 600, 800, -0.186428
cam_01093, , camera, SIMPLE_RADIAL, 1200, 1600, 1551.04, 600, 800, -0.0789578
cam_04832, , camera, SIMPLE_RADIAL, 1024, 768, 983.607, 512, 384, 0.0515484
cam_01091, , camera, SIMPLE_RADIAL, 1200, 1600, 1555.37, 600, 800, -0.0697132
cam_04830, , camera, SIMPLE_RADIAL, 1024, 768, 959.598, 512, 384, 0.0536266
cam_01090, , camera, SIMPLE_RADIAL, 1067, 1600, 1485.53, 533.5, 800, -0.103641
cam_04829, , camera, SIMPLE_RADIAL, 1024, 768, 967.293, 512, 384, 0.0622135
cam_03088, , camera, SIMPLE_RADIAL, 1200, 1600, 1816.46, 600, 800, -0.181955
cam_01089, , camera, SIMPLE_RADIAL, 1200, 1600, 1551.86, 600, 800, -0.0724555
cam_04828, , camera, SIMPLE_RADIAL, 1024, 768, 940.304, 512, 384, -0.075792
cam_03087, , camera, SIMPLE_RADIAL, 1200, 1600, 1831.77, 600, 800, -0.14854
cam_01088, , camera, SIMPLE_RADIAL, 1200, 1600, 1551.1, 600, 800, -0.0815627
cam_04827, , camera, SIMPLE_RADIAL, 768, 1024, 985.982, 384, 512, 0.0391866
cam_03086, , camera, SIMPLE_RADIAL, 1200, 1600, 1821.34, 600, 800, -0.17765
cam_02828, , camera, SIMPLE_RADIAL, 1200, 1600, 1804.26, 600, 800, -0.172969
cam_01087, , camera, SIMPLE_RADIAL, 1200, 1600, 1549.03, 600, 800, -0.0808671
cam_01086, , camera, SIMPLE_RADIAL, 1600, 1200, 1547.5, 800, 600, -0.0705526
cam_04825, , camera, SIMPLE_RADIAL, 768, 1024, 984.168, 384, 512, 0.0322496
cam_01085, , camera, SIMPLE_RADIAL, 1600, 1200, 1551.65, 800, 600, -0.0684607
cam_04824, , camera, SIMPLE_RADIAL, 1024, 768, 979.075, 512, 384, 0.065709
cam_03083, , camera, SIMPLE_RADIAL, 1200, 1600, 1814.68, 600, 800, -0.18027
cam_01084, , camera, SIMPLE_RADIAL, 1600, 1200, 1560, 800, 600, -0.0748732
cam_04823, , camera, SIMPLE_RADIAL, 1024, 768, 926.506, 512, 384, 0.0623007
cam_01083, , camera, SIMPLE_RADIAL, 1600, 1200, 1558.19, 800, 600, -0.0777336
cam_04822, , camera, SIMPLE_RADIAL, 768, 1024, 971.127, 384, 512, 0.055572
cam_03081, , camera, SIMPLE_RADIAL, 1200, 1600, 1827.15, 600, 800, -0.185781
cam_02823, , camera, SIMPLE_RADIAL, 1200, 1600, 1813.73, 600, 800, -0.182521
cam_01082, , camera, SIMPLE_RADIAL, 1600, 1200, 1581.71, 800, 600, -0.0741487
cam_04821, , camera, SIMPLE_RADIAL, 768, 1024, 962.221, 384, 512, 0.0404798
cam_03080, , camera, SIMPLE_RADIAL, 1200, 1600, 1825.33, 600, 800, -0.169242
cam_01081, , camera, SIMPLE_RADIAL, 1600, 1200, 1552.36, 800, 600, -0.0782068
cam_04820, , camera, SIMPLE_RADIAL, 768, 1024, 941.845, 384, 512, 0.045912
cam_03079, , camera, SIMPLE_RADIAL, 1067, 1600, 2348.13, 533.5, 800, -0.0245067
cam_01080, , camera, SIMPLE_RADIAL, 1600, 1200, 1557.05, 800, 600, -0.0774788
cam_04819, , camera, SIMPLE_RADIAL, 768, 1024, 974.585, 384, 512, 0.0496148
cam_03078, , camera, SIMPLE_RADIAL, 1200, 1600, 1829.28, 600, 800, -0.171991
cam_02820, , camera, SIMPLE_RADIAL, 1200, 1600, 1824.98, 600, 800, -0.160056
cam_01079, , camera, SIMPLE_RADIAL, 1067, 1600, 2006.07, 533.5, 800, -0.0632774
cam_04818, , camera, SIMPLE_RADIAL, 768, 1024, 958.838, 384, 512, 0.0586519
cam_03077, , camera, SIMPLE_RADIAL, 1200, 1600, 1822.88, 600, 800, -0.187786
cam_01078, , camera, SIMPLE_RADIAL, 1600, 1200, 1558.23, 800, 600, -0.0680933
cam_04817, , camera, SIMPLE_RADIAL, 1024, 768, 975.936, 512, 384, 0.0265623
cam_03076, , camera, SIMPLE_RADIAL, 1200, 1600, 1823, 600, 800, -0.195517
cam_01077, , camera, SIMPLE_RADIAL, 1600, 1200, 1559.5, 800, 600, -0.0684186
cam_04816, , camera, SIMPLE_RADIAL, 768, 1024, 977.759, 384, 512, 0.0164696
cam_03075, , camera, SIMPLE_RADIAL, 1200, 1600, 1810.27, 600, 800, -0.169995
cam_02817, , camera, SIMPLE_RADIAL, 1200, 1600, 1828.11, 600, 800, -0.189506
cam_01076, , camera, SIMPLE_RADIAL, 1600, 1200, 1558.42, 800, 600, -0.0763731
cam_01075, , camera, SIMPLE_RADIAL, 1600, 1200, 1553, 800, 600, -0.0726065
cam_04814, , camera, SIMPLE_RADIAL, 768, 1024, 979.881, 384, 512, 0.0753037
cam_03073, , camera, SIMPLE_RADIAL, 1200, 1600, 1851.84, 600, 800, -0.17559
cam_03543, , camera, SIMPLE_RADIAL, 1600, 1200, 1560.79, 800, 600, -0.0677494
cam_01074, , camera, SIMPLE_RADIAL, 1600, 1200, 1560.06, 800, 600, -0.0716192
cam_04813, , camera, SIMPLE_RADIAL, 768, 1024, 960.466, 384, 512, 0.0465264
cam_03542, , camera, SIMPLE_RADIAL, 1600, 1200, 1562.01, 800, 600, -0.0698591
cam_02814, , camera, SIMPLE_RADIAL, 1600, 1200, 1815.83, 800, 600, -0.162332
cam_01073, , camera, SIMPLE_RADIAL, 1600, 1200, 1557.63, 800, 600, -0.0637377
cam_04812, , camera, SIMPLE_RADIAL, 1024, 768, 939.187, 512, 384, -0.0179507
cam_03071, , camera, SIMPLE_RADIAL, 1200, 1600, 1793.79, 600, 800, -0.163994
cam_03540, , camera, SIMPLE_RADIAL, 1600, 1200, 1556.31, 800, 600, -0.0656665
cam_02812, , camera, SIMPLE_RADIAL, 1600, 1200, 1829.07, 800, 600, -0.173581
cam_01071, , camera, SIMPLE_RADIAL, 1200, 1600, 1555.1, 600, 800, -0.0794616
cam_04810, , camera, SIMPLE_RADIAL, 1024, 768, 980.813, 512, 384, 0.0433245
cam_01070, , camera, SIMPLE_RADIAL, 1600, 1200, 1557.86, 800, 600, -0.0752758
cam_04809, , camera, SIMPLE_RADIAL, 768, 1024, 946.769, 384, 512, 0.0773486
cam_03068, , camera, SIMPLE_RADIAL, 1067, 1600, 2293.79, 533.5, 800, -0.036878
cam_02810, , camera, SIMPLE_RADIAL, 1600, 1200, 1816.9, 800, 600, -0.180377
cam_01069, , camera, SIMPLE_RADIAL, 1600, 1200, 1555.49, 800, 600, -0.0680425
cam_04808, , camera, SIMPLE_RADIAL, 1024, 768, 989.011, 512, 384, 0.0431847
cam_01068, , camera, SIMPLE_RADIAL, 1600, 1067, 3141.55, 800, 533.5, 0.00876899
cam_04807, , camera, SIMPLE_RADIAL, 768, 1024, 984.122, 384, 512, 0.0157392
cam_03066, , camera, SIMPLE_RADIAL, 1200, 1600, 1838.03, 600, 800, -0.183045
cam_01067, , camera, SIMPLE_RADIAL, 1600, 1200, 1556.37, 800, 600, -0.0711385
cam_04806, , camera, SIMPLE_RADIAL, 1024, 768, 942.465, 512, 384, 0.0631576
cam_03065, , camera, SIMPLE_RADIAL, 1200, 1600, 1842.42, 600, 800, -0.191163
cam_01065, , camera, SIMPLE_RADIAL, 1600, 1200, 1550.86, 800, 600, -0.0687552
cam_01064, , camera, SIMPLE_RADIAL, 1600, 1200, 1555.07, 800, 600, -0.0711354
cam_01063, , camera, SIMPLE_RADIAL, 1600, 1200, 1555.08, 800, 600, -0.0754075
cam_03060, , camera, SIMPLE_RADIAL, 1600, 1200, 1824.04, 800, 600, -0.173005
cam_01061, , camera, SIMPLE_RADIAL, 1600, 1200, 1554.68, 800, 600, -0.0704223
cam_04800, , camera, SIMPLE_RADIAL, 768, 1024, 967.524, 384, 512, 0.115702
cam_00997, , camera, SIMPLE_RADIAL, 1200, 1600, 1556.46, 600, 800, -0.0780137
cam_04736, , camera, SIMPLE_RADIAL, 1024, 768, 981.834, 512, 384, 0.041043
cam_02737, , camera, SIMPLE_RADIAL, 1600, 1200, 1827.32, 800, 600, -0.172
cam_00996, , camera, SIMPLE_RADIAL, 1200, 1600, 1552.2, 600, 800, -0.07313
cam_04735, , camera, SIMPLE_RADIAL, 768, 1024, 974.398, 384, 512, 0.0386233
cam_04561, , camera, SIMPLE_RADIAL, 1024, 768, 983.607, 512, 384, 0.0511025
cam_00822, , camera, SIMPLE_RADIAL, 1200, 1600, 1554.07, 600, 800, -0.0743862
cam_04560, , camera, SIMPLE_RADIAL, 1024, 768, 903.751, 512, 384, 0.134707
cam_00821, , camera, SIMPLE_RADIAL, 1200, 1600, 1550.73, 600, 800, -0.0771791
cam_00993, , camera, SIMPLE_RADIAL, 1600, 1200, 1552.18, 800, 600, -0.075588
cam_04732, , camera, SIMPLE_RADIAL, 1024, 768, 985.2, 512, 384, 0.0422331
cam_04651, , camera, SIMPLE_RADIAL, 1024, 768, 982.05, 512, 384, 0.0565458
cam_00912, , camera, SIMPLE_RADIAL, 1200, 1600, 1553.1, 600, 800, -0.0803055
cam_04770, , camera, SIMPLE_RADIAL, 768, 1024, 932.348, 384, 512, -0.0376702
cam_01031, , camera, SIMPLE_RADIAL, 1600, 1200, 1549.39, 800, 600, -0.068599
cam_04559, , camera, SIMPLE_RADIAL, 1024, 768, 956.281, 512, 384, 0.0312674
cam_00820, , camera, SIMPLE_RADIAL, 1600, 1200, 1561.47, 800, 600, -0.0733737
cam_00992, , camera, SIMPLE_RADIAL, 1200, 1600, 1557.83, 600, 800, -0.0856642
cam_04731, , camera, SIMPLE_RADIAL, 1024, 768, 944.421, 512, 384, 0.0883175
cam_02923, , camera, SIMPLE_RADIAL, 1200, 1600, 1813.12, 600, 800, -0.205137
cam_00815, , camera, SIMPLE_RADIAL, 1200, 1600, 1556.94, 600, 800, -0.0812664
cam_04553, , camera, SIMPLE_RADIAL, 1024, 768, 974.506, 512, 384, 0.0727455
cam_00814, , camera, SIMPLE_RADIAL, 1600, 1200, 1554.88, 800, 600, -0.0802883
cam_04552, , camera, SIMPLE_RADIAL, 768, 1024, 958.075, 384, 512, 0.0224
cam_00813, , camera, SIMPLE_RADIAL, 1067, 1600, 2564.47, 533.5, 800, -0.0125067
cam_04468, , camera, SIMPLE_RADIAL, 1067, 1600, 1094.62, 533.5, 800, -0.0795116
cam_01259, , camera, SIMPLE_RADIAL, 1200, 1600, 1556.31, 600, 800, -0.0695493
cam_00812, , camera, SIMPLE_RADIAL, 1200, 1600, 1560.55, 600, 800, -0.0856909
cam_00810, , camera, SIMPLE_RADIAL, 1200, 1600, 1552.72, 600, 800, -0.0799043
cam_00807, , camera, SIMPLE_RADIAL, 1600, 1200, 1548.92, 800, 600, -0.0705962
cam_04545, , camera, SIMPLE_RADIAL, 1024, 768, 1001.48, 512, 384, 0.00531047
cam_00806, , camera, SIMPLE_RADIAL, 1600, 1200, 1557.74, 800, 600, -0.0743672
cam_00455, , camera, SIMPLE_RADIAL, 1600, 1067, 1092.25, 800, 533.5, -0.0728972
cam_00804, , camera, SIMPLE_RADIAL, 1600, 1200, 1560.35, 800, 600, -0.0738625
cam_04542, , camera, SIMPLE_RADIAL, 768, 1024, 959.734, 384, 512, 0.062819
cam_00803, , camera, SIMPLE_RADIAL, 1600, 1200, 1552.07, 800, 600, -0.0688664
cam_00802, , camera, SIMPLE_RADIAL, 1067, 1600, 2597.38, 533.5, 800, 7.02819e-05
cam_02799, , camera, SIMPLE_RADIAL, 1200, 1600, 1823.5, 600, 800, -0.182383
cam_04540, , camera, SIMPLE_RADIAL, 1024, 768, 938.885, 512, 384, 0.0694789
cam_04913, , camera, SIMPLE_RADIAL, 1200, 1600, 1450.95, 600, 800, -0.0363271
cam_02795, , camera, SIMPLE_RADIAL, 1200, 1600, 1809.18, 600, 800, -0.187896
cam_01327, , camera, SIMPLE_RADIAL, 1600, 1200, 1555.14, 800, 600, -0.0718219
cam_04536, , camera, SIMPLE_RADIAL, 768, 1024, 966.748, 384, 512, 0.0838614
cam_00797, , camera, SIMPLE_RADIAL, 1200, 1600, 1550.63, 600, 800, -0.0690435
cam_02794, , camera, SIMPLE_RADIAL, 1200, 1600, 1841.07, 600, 800, -0.171861
cam_04535, , camera, SIMPLE_RADIAL, 1024, 768, 960.23, 512, 384, 0.22851
cam_00796, , camera, SIMPLE_RADIAL, 1200, 1600, 1546.29, 600, 800, -0.0786013
cam_02793, , camera, SIMPLE_RADIAL, 1200, 1600, 1809.78, 600, 800, -0.193108
cam_01325, , camera, SIMPLE_RADIAL, 1600, 1200, 1559.87, 800, 600, -0.076926
cam_04534, , camera, SIMPLE_RADIAL, 1024, 768, 1015.39, 512, 384, 0.0363962
cam_00795, , camera, SIMPLE_RADIAL, 1600, 1200, 1549.77, 800, 600, -0.0655383
cam_02964, , camera, SIMPLE_RADIAL, 1600, 1200, 1831.77, 800, 600, -0.178318
cam_02791, , camera, SIMPLE_RADIAL, 1600, 1067, 1938.68, 800, 533.5, -0.0787916
cam_04908, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.79, 800, 600, -0.0416147
cam_00793, , camera, SIMPLE_RADIAL, 1200, 1600, 1547.58, 600, 800, -0.0755254
cam_00789, , camera, SIMPLE_RADIAL, 1200, 1600, 1550.85, 600, 800, -0.0722909
cam_02786, , camera, SIMPLE_RADIAL, 1200, 1600, 1824.08, 600, 800, -0.175706
cam_04527, , camera, SIMPLE_RADIAL, 1024, 768, 986.626, 512, 384, 0.0656374
cam_00788, , camera, SIMPLE_RADIAL, 1200, 1600, 1551.62, 600, 800, -0.0795074
cam_04525, , camera, SIMPLE_RADIAL, 1024, 768, 986.55, 512, 384, 0.0707286
cam_00786, , camera, SIMPLE_RADIAL, 1600, 1200, 1560.19, 800, 600, -0.0711047
cam_02783, , camera, SIMPLE_RADIAL, 1600, 1200, 1821.02, 800, 600, -0.181121
cam_04524, , camera, SIMPLE_RADIAL, 1024, 768, 982.945, 512, 384, 0.0655241
cam_04523, , camera, SIMPLE_RADIAL, 1024, 768, 965.245, 512, 384, 0.0445423
cam_00782, , camera, SIMPLE_RADIAL, 1200, 1600, 1548.06, 600, 800, -0.0779526
cam_04521, , camera, SIMPLE_RADIAL, 1024, 768, 971.9, 512, 384, 0.0524402
cam_02779, , camera, SIMPLE_RADIAL, 1600, 1063, 1248.3, 800, 531.5, -0.0852142
cam_00781, , camera, SIMPLE_RADIAL, 1600, 1200, 1556.7, 800, 600, -0.0703011
cam_04888, , camera, SIMPLE_RADIAL, 1600, 1200, 1462.09, 800, 600, -0.0285207
cam_00773, , camera, SIMPLE_RADIAL, 1200, 1600, 1554.31, 600, 800, -0.0735718
cam_01146, , camera, SIMPLE_RADIAL, 1200, 1600, 1555.7, 600, 800, -0.0700724
cam_04885, , camera, SIMPLE_RADIAL, 1200, 1600, 1450.36, 600, 800, -0.0157883
cam_00770, , camera, SIMPLE_RADIAL, 1600, 1200, 1557.49, 800, 600, -0.0646425
cam_02862, , camera, SIMPLE_RADIAL, 1200, 1600, 1790.96, 600, 800, -0.157779
cam_01145, , camera, SIMPLE_RADIAL, 1200, 1600, 1555.77, 600, 800, -0.0713015
cam_01144, , camera, SIMPLE_RADIAL, 1200, 1600, 1554.96, 600, 800, -0.0686208
cam_01143, , camera, SIMPLE_RADIAL, 1200, 1600, 1560.54, 600, 800, -0.0747062
cam_04882, , camera, SIMPLE_RADIAL, 1600, 1200, 1436.83, 800, 600, -0.0234167
cam_00767, , camera, SIMPLE_RADIAL, 1600, 1200, 1548.57, 800, 600, -0.069922
cam_00914, , camera, SIMPLE_RADIAL, 1600, 1200, 1556.63, 800, 600, -0.0637825
cam_04653, , camera, SIMPLE_RADIAL, 1024, 768, 978.114, 512, 384, 0.0784276
cam_02912, , camera, SIMPLE_RADIAL, 1200, 1600, 1803.43, 600, 800, -0.159927
cam_02593, , camera, SIMPLE_RADIAL, 1600, 1067, 1318.36, 800, 533.5, -0.102824
cam_04591, , camera, SIMPLE_RADIAL, 1024, 768, 975.445, 512, 384, 0.0747194
cam_02863, , camera, SIMPLE_RADIAL, 1200, 1600, 1798.31, 600, 800, -0.168561
cam_00865, , camera, SIMPLE_RADIAL, 1600, 1200, 1560.74, 800, 600, -0.071549
cam_02606, , camera, SIMPLE_RADIAL, 1600, 1067, 1319.83, 800, 533.5, -0.095431
cam_04603, , camera, SIMPLE_RADIAL, 1024, 768, 993.099, 512, 384, 0.0505725
cam_00864, , camera, SIMPLE_RADIAL, 1600, 1200, 1564.06, 800, 600, -0.0669174
cam_02605, , camera, SIMPLE_RADIAL, 1600, 1067, 1323.86, 800, 533.5, -0.111486
cam_02657, , camera, SIMPLE_RADIAL, 1600, 1067, 1632.6, 800, 533.5, -0.0903359
