# kapture format: 1.1
# timestamp, device_id, qw, qx, qy, qz, tx, ty, tz
      20, cam_00020, -0.0223569, -0.0858977, 0.153753, 0.984115, 730.606, 53.733, 147.417
      21, cam_00021, -0.0364897, -0.198321, 0.139149, 0.969523, 675.928, 94.0332, 304.296
      22, cam_00022, -0.0509579, -0.312641, 0.133935, 0.939, 581.41, 133.056, 449.992
      23, cam_00023, -0.0553263, -0.390327, 0.129096, 0.9099, 495.853, 148.766, 538.72
      24, cam_00024, -0.0650492, -0.486787, 0.114001, 0.863603, 364.342, 163.562, 631.435
      25, cam_00025, 0.123049, 0.682459, 0.109595, 0.712108, 219.092, -251.688, -715.033
      26, cam_00026, 0.0465095, 0.208804, 0.125533, 0.968751, 687.871, -105.942, -265.322
      27, cam_00027, 0.0248775, 0.104333, 0.124288, 0.986432, 733.062, -55.2471, -119.701
      28, cam_00028, 0.0110282, 0.00333147, 0.118774, 0.992854, 744.139, -16.4489, 26.4974
      29, cam_00029, -0.00770857, -0.115324, 0.107648, 0.987448, 717.626, 29.4896, 196.927
      30, cam_00030, -0.0196432, -0.209196, 0.10184, 0.972358, 666.581, 59.2003, 326.682
      31, cam_00031, -0.027343, -0.316613, 0.0934698, 0.943542, 576.411, 80.6054, 464.488
      32, cam_00032, -0.0329368, -0.401879, 0.0861936, 0.911032, 480.805, 93.5471, 560.855
      33, cam_00033, -0.044917, -0.506481, 0.0728861, 0.85799, 334.072, 108.151, 656.641
      34, cam_00034, -0.0438584, -0.574173, 0.0673675, 0.814778, 223.352, 106.006, 702.365
      35, cam_00035, -0.0482442, -0.649972, 0.0598651, 0.756059, 83.2808, 106.523, 732.21
      36, cam_00036, 0.104575, 0.580651, 0.109415, 0.799961, 413.472, -215.934, -636.426
      37, cam_00037, 0.0396838, 0.707189, -0.053405, -0.703887, -31.6157, 91.8313, 738.24
      38, cam_00038, 0.00123172, 0.0436817, 0.139032, 0.989323, 744.887, -6.52916, -26.3333
      39, cam_00039, -0.0116734, -0.078626, 0.134324, 0.987744, 729.014, 36.7732, 150.796
      40, cam_00040, -0.0267704, -0.186463, 0.119848, 0.974757, 677.674, 74.4681, 301.398
      41, cam_00041, 0.0151435, 0.141249, 0.138114, 0.980175, 722.39, -46.3602, -163.805
      42, cam_00042, 0.00270286, 0.0182851, 0.139588, 0.990037, 742.002, -2.80376, 13.5648
      43, cam_00043, -0.00891207, -0.0731464, 0.136336, 0.987918, 727.14, 32.4522, 144.877
      44, cam_00044, -0.0243292, -0.180971, 0.129912, 0.974567, 677.352, 73.6562, 294.172
      45, cam_00045, -0.0355612, -0.280034, 0.11973, 0.95183, 601.38, 102.035, 422.566
      46, cam_00046, -0.051289, -0.396816, 0.105526, 0.910369, 474.602, 131.159, 555.126
      47, cam_00047, 0.19239, 0.97805, 0.0279846, 0.0749799, -732.66, -132.507, -269.833
      48, cam_00048, -0.0527038, -0.512227, 0.0830474, 0.853199, 312.918, 126.972, 660.66
      49, cam_00049, 0.025979, 0.176041, 0.142736, 0.973633, 706.055, -69.1046, -208.298
      50, cam_00050, 0.0123543, 0.0956812, 0.140365, 0.985388, 732.421, -32.257, -95.5081
      51, cam_00051, -0.00523662, -0.00733197, 0.135581, 0.990725, 737.335, 14.4137, 51.5683
      52, cam_00052, -0.0201942, -0.124809, 0.134879, 0.982763, 704.041, 59.1094, 217.828
      53, cam_00053, -0.0305504, -0.212047, 0.12058, 0.969311, 652.834, 84.706, 336.336
      54, cam_00054, -0.0336917, -0.330901, 0.102866, 0.937437, 548.393, 97.9718, 485.93
      55, cam_00055, -0.0388562, -0.439309, 0.076132, 0.89426, 417.781, 98.7952, 601.663
      56, cam_00056, -0.0558381, -0.634472, 0.0576423, 0.768768, 98.3275, 111.957, 723.854
      57, cam_00057, 0.0609616, 0.713496, -0.0450476, -0.696547, -60.5011, 102.96, 729.361
      58, cam_00058, 0.187727, 0.950033, 0.0676643, 0.240038, -588.06, -228.011, -478.966
      59, cam_00059, 0.0657119, 0.768347, -0.0395687, -0.63542, -180.515, 98.3231, 710.152
      60, cam_00060, 0.0742724, 0.843382, -0.0279832, -0.53142, -357.287, 83.0386, 641.779
      61, cam_00061, 0.0786475, 0.899496, -0.0138799, -0.429567, -497.477, 56.7451, 543.725
      62, cam_00062, 0.0214363, 0.189049, 0.15558, 0.969328, 698.133, -66.3986, -223.372
      63, cam_00063, 0.00352223, 0.0830082, 0.15379, 0.984604, 731.868, -16.1337, -75.7591
      64, cam_00064, -0.0071093, -0.0317078, 0.162229, 0.986218, 730.186, 26.4006, 88.3004
      65, cam_00065, -0.0174912, -0.123493, 0.156747, 0.979732, 700.674, 61.3944, 216.67
      66, cam_00066, -0.0356282, -0.247702, 0.129045, 0.959542, 620.97, 101.601, 381.623
      67, cam_00067, 0.0166783, 0.287843, 0.118377, 0.950187, 634.749, -69.2564, -360.021
      68, cam_00068, 0.00136227, 0.201549, 0.116148, 0.972567, 689.934, -31.9626, -245.52
      69, cam_00069, 0.173262, 0.880531, 0.0904592, 0.431812, -327.793, -280.02, -664.455
      70, cam_00070, -0.0157407, 0.101887, 0.113735, 0.988148, 725.192, 10.133, -106.238
      71, cam_00071, -0.0195216, 0.00263037, 0.115965, 0.993058, 731.344, 32.3797, 37.602
      72, cam_00072, -0.0281876, -0.0899565, 0.1127, 0.989147, 710.587, 59.5238, 169.658
      73, cam_00073, -0.0400092, -0.201375, 0.103715, 0.973186, 652.235, 89.9752, 322.038
      74, cam_00074, 0.0282253, 0.229229, 0.132307, 0.963925, 671.324, -78.8158, -276.837
      75, cam_00075, 0.0048053, 0.135941, 0.130104, 0.982125, 714.172, -27.0716, -150.844
      76, cam_00076, -0.0111756, 0.0324046, 0.135002, 0.990252, 730.265, 16.0013, -4.47788
      77, cam_00077, -0.0212003, -0.0712272, 0.136029, 0.987914, 714.575, 50.8264, 142.627
      78, cam_00078, -0.0283213, -0.172813, 0.129913, 0.975939, 668.942, 78.1795, 282.6
      79, cam_00079, -0.0427389, -0.273815, 0.115608, 0.953852, 593.374, 108.613, 411.861
      80, cam_00080, 0.146701, 0.791623, 0.100975, 0.58448, -56.007, -276.946, -740.029
      81, cam_00081, -0.056555, -0.382303, 0.105469, 0.916254, 479.557, 135.251, 534.203
      82, cam_00082, 0.0274501, 0.282688, 0.117975, 0.951533, 633.534, -82.6743, -347.943
      83, cam_00083, 0.010271, 0.175237, 0.119803, 0.977156, 696.97, -40.3926, -204.489
      84, cam_00084, 0.00252406, 0.0787597, 0.12333, 0.989232, 724.192, -12.4685, -68.0865
      85, cam_00085, -0.0140982, -0.0139118, 0.123434, 0.992155, 724.223, 28.1131, 62.7115
      86, cam_00086, -0.0239815, -0.122487, 0.119343, 0.984977, 692.341, 60.1122, 214.957
      87, cam_00087, -0.0403321, -0.227561, 0.11198, 0.966462, 628.354, 96.776, 353.559
      88, cam_00088, 0.0267044, 0.289255, 0.122472, 0.94901, 626.531, -83.7876, -354.659
      89, cam_00089, 0.00438548, 0.184717, 0.124604, 0.974851, 690.508, -34.2848, -217.669
      90, cam_00090, -0.00463375, 0.0630337, 0.138949, 0.988281, 723.331, 0.757091, -46.2961
      91, cam_00091, 0.132091, 0.67005, 0.118162, 0.720849, 231.91, -270.948, -707.256
      92, cam_00092, -0.0182294, -0.0479384, 0.134556, 0.989578, 715.125, 41.7325, 110.072
      93, cam_00093, -0.0206039, -0.196051, 0.119631, 0.973051, 649.579, 67.3751, 314.218
      94, cam_00094, 0.02499, 0.354754, 0.104024, 0.928819, 568.622, -84.3165, -436.718
      95, cam_00095, 0.00958604, 0.257366, 0.108022, 0.960209, 647.712, -49.7994, -314.929
      96, cam_00096, -0.00581001, 0.160618, 0.113381, 0.980466, 697.83, -13.5177, -184.679
      97, cam_00097, -0.0103826, 0.0501721, 0.122308, 0.991169, 721.307, 11.3961, -28.1959
      98, cam_00098, -0.0185623, -0.035608, 0.121816, 0.99174, 714.886, 38.0513, 93.03
      99, cam_00099, -0.0284531, -0.136113, 0.110898, 0.984056, 680.265, 65.973, 232.414
     100, cam_00100, 0.0120396, 0.190696, 0.0991695, 0.976553, 682.261, -41.1356, -223.304
     101, cam_00101, 0.00510098, 0.0996979, 0.118639, 0.987906, 712.341, -19.2961, -96.0423
     102, cam_00102, 0.165268, 0.983701, 0.0212267, 0.0675884, -743.901, -107.1, -261.205
     103, cam_00103, -0.00662729, -0.00518419, 0.123928, 0.992256, 716.971, 15.8572, 51.5564
     104, cam_00104, -0.0232979, -0.136666, 0.127171, 0.982144, 677.564, 63.1835, 231.975
     105, cam_00105, -0.0422386, -0.240693, 0.114182, 0.962936, 610.499, 101.203, 365.944
     106, cam_00106, 0.0151116, 0.196938, 0.131037, 0.971502, 677.085, -52.2414, -229.533
     107, cam_00107, 0.000876537, 0.119469, 0.140714, 0.982815, 705.711, -18.3319, -124.313
     108, cam_00108, -0.00793355, 0.0128522, 0.128393, 0.991608, 716.169, 14.8249, 25.1554
     109, cam_00109, -0.0186716, -0.0807711, 0.112331, 0.990207, 698.205, 43.7273, 155.907
     110, cam_00110, 0.13124, 0.989167, -0.00617243, 0.0654694, -706.373, -20.7892, -135.347
     111, cam_00111, 0.114539, 0.99227, 0.000657048, 0.0477622, -712.443, -24.6265, -109.97
     112, cam_00112, 0.111414, 0.988, 0.0195955, 0.105164, -695.362, -60.156, -187.722
     113, cam_00113, 0.180293, 0.976559, 0.020358, 0.115816, -687.47, -132.349, -347.955
     114, cam_00114, 0.162602, 0.956968, 0.0445213, 0.236201, -604.96, -177.491, -485.494
     115, cam_00115, 0.118664, 0.99189, -0.0139544, 0.0433442, -716.688, -3.58503, -105.695
     116, cam_00116, 0.0950873, 0.994904, -0.00403425, 0.0332769, -719.889, -12.9501, -90.4457
     117, cam_00117, 0.083688, 0.996092, -0.0263287, -0.0102307, -726.222, 26.1811, -30.6767
     118, cam_00118, 0.123646, 0.991479, 0.00350308, 0.0408421, -721.423, -28.9731, -99.3935
     119, cam_00119, 0.127404, 0.991581, -0.0110025, 0.0203681, -728.428, -4.89305, -73.015
     120, cam_00120, 0.126043, 0.991885, -0.0108325, -0.0126586, -734.232, 1.08296, -25.4061
     121, cam_00121, 0.140088, 0.989682, -0.0156864, -0.0256855, -737.457, 9.94258, -7.12255
     122, cam_00122, 0.137531, 0.989661, -0.014542, -0.0380099, -740.219, 11.0065, 11.3991
     123, cam_00123, 0.141734, 0.988687, -0.018323, -0.0455331, -742.268, 18.0217, 21.6162
     124, cam_00124, 0.111316, 0.99116, -0.0230898, -0.068385, -741.936, 29.5362, 54.7807
     125, cam_00125, 0.162501, 0.918987, 0.0623028, 0.3538, -458.673, -223.63, -610.57
     126, cam_00126, 0.109011, 0.982513, -0.0134154, -0.150347, -724.723, 28.627, 176.872
     127, cam_00127, 0.09476, 0.980142, -0.0282942, -0.171876, -717.143, 51.7266, 205.959
     128, cam_00128, 0.100762, 0.821525, -0.0871047, -0.554397, -318.516, 181.294, 651.504
     129, cam_00129, 0.0873096, 0.826474, -0.0606782, -0.552843, -327.883, 137.443, 657.602
     130, cam_00130, 0.10107, 0.801368, -0.0359944, -0.588472, -273.204, 120.349, 685.802
     131, cam_00131, 0.107125, 0.794841, -0.0572406, -0.594538, -261.499, 152.207, 683.802
     132, cam_00132, 0.115856, 0.790685, -0.077812, -0.596104, -256.681, 184.753, 678.11
     133, cam_00133, 0.10391, 0.760938, -0.0916307, -0.633861, -187.072, 194.786, 698.078
     134, cam_00134, 0.0408576, 0.35383, 0.132253, 0.92501, 562.29, -149.176, -531.378
     135, cam_00135, 0.0133813, 0.229188, 0.123162, 0.965466, 687.42, -81.4936, -376.392
     136, cam_00136, 0.147466, 0.857324, 0.076644, 0.487212, -248.658, -245.674, -714.887
     137, cam_00137, 0.00123766, 0.105864, 0.124123, 0.986603, 761.615, -39.8235, -197.968
     138, cam_00138, -0.0106082, -0.0219302, 0.112949, 0.993302, 787.856, 3.97495, -2.61139
     139, cam_00139, 0.0280335, 0.370524, 0.104974, 0.922446, 540.695, -116.394, -557.567
     140, cam_00140, 0.00494278, 0.250593, 0.105469, 0.962318, 667.04, -64.8525, -409.455
     141, cam_00141, 0.00409558, 0.158312, 0.105567, 0.981721, 732.859, -48.6778, -278.069
     142, cam_00142, -0.0213598, -0.0479736, 0.107071, 0.992864, 784.167, 24.9755, 34.3131
     143, cam_00143, -0.0350439, -0.166227, 0.0881186, 0.981517, 752.49, 62.4645, 215.678
     144, cam_00144, 0.0544104, 0.437937, 0.111675, 0.890382, 442.777, -166.021, -621.197
     145, cam_00145, 0.0344084, 0.315793, 0.121823, 0.940346, 597.121, -126.996, -486.596
     146, cam_00146, 0.0147285, 0.19515, 0.127833, 0.972295, 704.002, -79.236, -328.148
     147, cam_00147, 0.124487, 0.773616, 0.0803846, 0.616084, -6.94924, -232.97, -761.026
     148, cam_00148, -0.00350744, 0.0392048, 0.124512, 0.991437, 774.057, -20.4404, -99.7122
     149, cam_00149, -0.0195112, -0.100543, 0.120156, 0.987458, 771.765, 31.1612, 113.223
     150, cam_00150, 0.047375, 0.398558, 0.108409, 0.90948, 495.255, -148.275, -579.63
     151, cam_00151, 0.0288172, 0.251648, 0.11573, 0.960442, 655.766, -104.511, -402.808
     152, cam_00152, 0.013633, 0.153901, 0.119378, 0.980754, 725.935, -66.582, -267.938
     153, cam_00153, 4.84722e-05, -0.0201698, 0.127634, 0.991616, 776.464, -14.3789, -6.94635
     154, cam_00154, -0.0154046, -0.179953, 0.115338, 0.976769, 739.459, 38.5039, 233.946
     155, cam_00155, 0.0367244, 0.429261, 0.113654, 0.895248, 452.338, -141.233, -610.683
     156, cam_00156, 0.0244842, 0.288159, 0.109938, 0.950936, 619.263, -100.945, -451.381
     157, cam_00157, 0.0189411, 0.153009, 0.110608, 0.981833, 722.113, -71.6624, -266.815
     158, cam_00158, 0.0943739, 0.691111, 0.0821198, 0.71184, 195.449, -195.799, -746.21
     159, cam_00159, -0.00558751, -0.0287282, 0.103654, 0.994183, 773.009, -3.50849, 3.03356
     160, cam_00160, -0.0175575, -0.166842, 0.0986864, 0.980875, 742.493, 36.0495, 211.893
     161, cam_00161, 0.0574281, 0.449545, 0.101356, 0.885629, 416.773, -161.451, -625.706
     162, cam_00162, 0.0325171, 0.264008, 0.112412, 0.957395, 636.538, -109.829, -417.245
     163, cam_00163, 0.0112393, 0.103483, 0.117588, 0.987592, 741.965, -53.5837, -194.72
     164, cam_00164, -0.0152877, -0.0725015, 0.112039, 0.990937, 765.803, 18.2476, 67.0197
     165, cam_00165, -0.0419187, -0.233154, 0.103374, 0.966021, 701.89, 83.4103, 302.568
     166, cam_00166, 0.0296495, 0.432771, 0.0922751, 0.896279, 439.726, -115.808, -614.546
     167, cam_00167, 0.0238234, 0.301534, 0.109532, 0.946843, 596.763, -101.555, -466.792
     168, cam_00168, 0.0131989, 0.186525, 0.113031, 0.975837, 692.695, -69.5966, -315.656
     169, cam_00169, 0.0482215, 0.541288, 0.116576, 0.831319, 469.957, -135.051, -615.782
     170, cam_00170, -0.00487038, 0.0156311, 0.113664, 0.993384, 761.308, -13.5999, -68.0728
     171, cam_00171, -0.0261156, -0.176805, 0.121211, 0.976405, 730.662, 53.2792, 218.226
     172, cam_00172, 0.0386916, 0.335971, 0.134811, 0.931371, 543.648, -141.23, -497.768
     173, cam_00173, 0.00803852, 0.175053, 0.121222, 0.977035, 684.511, -63.5407, -301.131
     174, cam_00174, -0.0105097, 0.0202976, 0.12177, 0.992295, 745.909, -8.54572, -81.6005
     175, cam_00175, -0.0160475, -0.134884, 0.131545, 0.98196, 735.074, 29.085, 147.837
     176, cam_00176, 0.0134732, 0.180105, 0.113137, 0.977026, 679.484, -68.6557, -304.838
     177, cam_00177, -0.0067995, 0.0199739, 0.128602, 0.991472, 743.614, -14.3029, -77.9568
     178, cam_00178, -0.0247203, -0.129206, 0.127018, 0.983138, 733.539, 40.7817, 139.464
     179, cam_00179, -0.045049, -0.422071, 0.0912534, 0.900833, 516.033, 103.801, 530.647
     180, cam_00180, 0.0426459, 0.417754, 0.137311, 0.897111, 626.962, -111.616, -461.318
     181, cam_00181, -0.0663466, -0.553018, 0.0820157, 0.826464, 330.118, 138.535, 656.073
     182, cam_00182, -0.0811266, -0.672796, 0.0656345, 0.732432, 111.574, 147.423, 724.22
     183, cam_00183, 0.0847628, 0.762932, -0.0567039, -0.638384, -83.1158, 140.359, 729.349
     184, cam_00184, 0.0908833, 0.858721, -0.0417411, -0.50259, -322.193, 119.6, 663.706
     185, cam_00185, 0.094654, 0.910266, -0.0318207, -0.4018, -466.009, 99.567, 575.771
     186, cam_00186, 0.0762764, 0.747739, -0.0744853, -0.655378, -42.7142, 150.816, 731.024
     187, cam_00187, -0.0677612, -0.636562, 0.0781188, 0.764261, 188.319, 141.861, 709.578
     188, cam_00188, -0.0551121, -0.495781, 0.0813917, 0.862867, 422.002, 118.664, 605.849
     189, cam_00189, -0.0669244, -0.550653, 0.0883857, 0.82734, 341.123, 143.076, 650.484
     190, cam_00190, -0.0761441, -0.658491, 0.0816129, 0.744266, 148.623, 155.604, 716.642
     191, cam_00191, 0.0304871, 0.285617, 0.150008, 0.94604, 734.85, -65.3578, -272.11
     192, cam_00192, 0.105547, 0.758911, -0.079034, -0.637705, -72.116, 185.603, 721.175
     193, cam_00193, 0.118034, 0.843486, -0.0672483, -0.51969, -283.965, 175.936, 669.581
     194, cam_00194, 0.114898, 0.901231, -0.0498708, -0.414843, -441.07, 140.005, 588.061
     195, cam_00195, 0.182421, 0.952904, -0.0374007, -0.23937, -627.775, 131.398, 384.031
     196, cam_00196, 0.180842, 0.981464, -0.00499668, -0.0632395, -730.868, 39.0962, 152.229
     197, cam_00197, 0.178516, 0.977896, 0.0261742, 0.105667, -740.785, -52.1586, -86.3758
     198, cam_00198, 0.164429, 0.959164, 0.0485613, 0.224964, -694.082, -113.69, -253.395
     199, cam_00199, 0.144303, 0.933164, 0.0523575, 0.325022, -622.431, -135.712, -391.434
     200, cam_00200, 0.104558, 0.884029, 0.0590892, 0.45174, -486.737, -147.641, -547.121
     201, cam_00201, -0.0895991, -0.642951, 0.0957024, 0.754604, 178.844, 182.82, 702.699
     202, cam_00202, 0.0138008, 0.121563, 0.154025, 0.980463, 786.079, 0.722003, -21.8658
     203, cam_00203, 0.111726, 0.746015, -0.0936376, -0.649778, -41.0273, 207.355, 717.17
     204, cam_00204, 0.123044, 0.815588, -0.0828031, -0.559304, -210.521, 202.252, 688.264
     205, cam_00205, 0.133432, 0.876009, -0.0657958, -0.458776, -373.737, 180.211, 622.04
     206, cam_00206, 0.131677, 0.921266, -0.0538381, -0.361984, -503.136, 149.869, 532.447
     207, cam_00207, 0.13629, 0.782593, -0.0927504, -0.600309, -131.658, 227.308, 694.447
     208, cam_00208, 0.151146, 0.852941, -0.0763512, -0.493778, -314.604, 210.847, 638.594
     209, cam_00209, 0.164834, 0.914572, -0.0607301, -0.364279, -493.795, 179.916, 524.552
     210, cam_00210, 0.16446, 0.953833, -0.0432011, -0.247566, -615.112, 132.317, 394.355
     211, cam_00211, 0.1508, 0.906294, -0.0625829, -0.389838, -458.305, 177.055, 551.34
     212, cam_00212, 0.144718, 0.941604, -0.0505608, -0.299804, -561.471, 142.096, 458.269
     213, cam_00213, -0.00841335, -0.0346405, 0.153165, 0.987557, 753.434, 71.687, 213.048
     214, cam_00214, -0.01438, -0.141696, 0.108168, 0.983878, 525.554, 99.3852, 486.341
     215, cam_00215, 0.132358, 0.974648, -0.0340296, -0.177158, -664.586, 91.6593, 309.065
     216, cam_00216, -0.017486, -0.126775, 0.117897, 0.984745, 539.918, 109.108, 468.321
     217, cam_00217, 0.134436, 0.988887, -0.0179832, -0.0608724, -721.681, 47.7237, 150.194
     218, cam_00218, -0.0147703, -0.0906878, 0.132268, 0.986946, 574.779, 110.163, 418.762
     219, cam_00219, 0.130292, 0.913412, -0.0373036, -0.383811, -466.378, 129.316, 553.464
     220, cam_00220, -0.00299684, -0.0489311, 0.135977, 0.989498, 612.595, 90.1431, 365.234
     221, cam_00221, 0.133561, 0.954873, -0.0326667, -0.26327, -594.702, 105.297, 419.306
     222, cam_00222, 0.0135358, 0.0507737, 0.142514, 0.988397, 678.265, 53.0526, 233.621
     223, cam_00223, 0.13078, 0.982718, -0.0202468, -0.129429, -689.73, 62.9572, 247.095
     224, cam_00224, 0.071315, 0.905687, -0.0385497, -0.416124, -634.135, 76.691, 434.22
     225, cam_00225, -0.0191233, -0.157962, 0.144001, 0.976702, 674.953, 109.824, 387.877
     226, cam_00226, -0.00606549, 0.0060602, 0.13869, 0.990299, 655.378, 83.6538, 284.803
     227, cam_00227, 0.12133, 0.992159, -0.0169294, -0.0247416, -727.627, 37.1678, 99.9465
     228, cam_00228, 0.088767, 0.82298, -0.105136, -0.551154, -523.229, 160.923, 466.478
     229, cam_00229, 0.141508, 0.863491, -0.0583369, -0.480579, -328.815, 177.657, 629.359
     230, cam_00230, 0.0100105, 0.0524241, 0.124794, 0.990746, 683.161, 45.2928, 221.793
     231, cam_00231, 0.14626, 0.929144, -0.0362688, -0.337615, -516.725, 130.247, 501.898
     232, cam_00232, 0.0758368, 0.870461, -0.0702125, -0.481265, -597.847, 102.388, 387.26
     233, cam_00233, 0.137985, 0.972829, -0.0129495, -0.185461, -653.236, 65.8862, 323.787
     234, cam_00234, 0.0295537, 0.159093, 0.132914, 0.977829, 717.117, -0.11586, 63.7985
     235, cam_00235, 0.133871, 0.98553, -0.0158308, -0.102755, -698.982, 52.7747, 211.244
     236, cam_00236, -0.0438118, -0.275848, 0.129698, 0.951403, 556.137, 156.149, 533.203
     237, cam_00237, 0.0784303, 0.888306, -0.055207, -0.449124, -621.54, 79.4409, 354.412
     238, cam_00238, 0.131707, 0.990205, -0.00049568, 0.0463365, -732.194, 1.79664, 0.898921
     239, cam_00239, 0.0271045, 0.10612, 0.141047, 0.983926, 710.297, 14.1646, 126.748
     240, cam_00240, 0.145859, 0.930786, -0.0460324, -0.332029, -517.948, 140.921, 490.914
     241, cam_00241, 0.0761465, 0.884058, -0.0684265, -0.456027, -608.469, 102.107, 375.923
     242, cam_00242, 0.14674, 0.971343, -0.0248657, -0.185315, -648.281, 85.4766, 318.807
     243, cam_00243, -0.10134, -0.641978, 0.182549, 0.737746, -166.575, 289.811, 640.762
     244, cam_00244, 0.147766, 0.988359, -0.00947931, -0.0349622, -717.441, 33.2488, 115.95
     245, cam_00245, 0.0191947, 0.137169, 0.0945109, 0.985842, 722.393, -0.0335002, 70.6607
     246, cam_00246, 0.128573, 0.982103, 0.00863828, 0.137362, -715.651, -28.6205, -127.948
     247, cam_00247, 0.0577201, 0.813863, -0.047945, -0.576191, -410.965, 102.078, 649.399
     248, cam_00248, 0.0986922, 0.824975, -0.084718, -0.549999, -501.896, 144.824, 504.303
     249, cam_00249, 0.11344, 0.961635, 0.0271821, 0.248296, -667.178, -72.5976, -281.098
     250, cam_00250, -0.0815618, -0.64116, 0.114386, 0.754439, -147.56, 196.081, 683.792
     251, cam_00251, 0.15807, 0.951336, -0.03469, -0.262242, -583.59, 119.112, 410.475
     252, cam_00252, -0.0329989, -0.136539, 0.179864, 0.97361, 578.142, 161.938, 409.117
     253, cam_00253, 0.156636, 0.978965, -0.00968877, -0.130379, -677.269, 56.4413, 247.976
     254, cam_00254, 0.00504733, 0.0829634, 0.131165, 0.98787, 716.49, 39.718, 131.166
     255, cam_00255, 0.14743, 0.988888, 0.00630145, 0.0180233, -722.105, -0.366628, 44.5705
     256, cam_00256, -0.0269403, -0.22585, 0.104937, 0.968119, 578.787, 122.287, 581.482
     257, cam_00257, 0.137945, 0.978502, 0.0235274, 0.151498, -707.331, -52.8434, -142.825
     258, cam_00258, 0.0579743, 0.89583, -0.0327098, -0.439383, -597.131, 69.4049, 489.614
     259, cam_00259, 0.081366, 0.833617, -0.0612845, -0.542869, -503.475, 110.533, 519.474
     260, cam_00260, 0.166894, 0.974857, -0.0122, -0.147141, -662.291, 67.33, 269.201
     261, cam_00261, 0.0252102, 0.0974618, 0.138471, 0.985237, 728.14, 7.39418, 96.4499
     262, cam_00262, 0.157137, 0.987487, 0.0115763, -0.00661943, -713.291, -0.424631, 82.3544
     263, cam_00263, 0.112217, 0.875725, -0.0792742, -0.462848, -582.796, 138.343, 427.669
     264, cam_00264, 0.143519, 0.979795, 0.0263873, 0.136773, -706.297, -53.2493, -117.915
     265, cam_00265, 0.169157, 0.785808, -0.22489, -0.550742, -421.287, 368.185, 472.805
     266, cam_00266, 0.132303, 0.953179, 0.0387777, 0.26915, -646.185, -95.0832, -298.397
     267, cam_00267, -0.0612923, -0.278599, 0.189556, 0.939518, 458.7, 228.516, 526.755
     268, cam_00268, 0.168473, 0.965887, -0.0329358, -0.193893, -629.096, 106.082, 322.332
     269, cam_00269, 0.0567004, 0.960211, -0.0123064, -0.273182, -732.839, 23.247, 252.554
     270, cam_00270, 0.0478255, 0.196036, 0.18902, 0.961017, 733.359, -41.3768, -60.0045
     271, cam_00271, 0.16418, 0.984916, 0.000445257, -0.0546296, -699.331, 27.2499, 145.439
     272, cam_00272, 0.0969591, 0.850114, -0.0762794, -0.511943, -520.82, 142.162, 509.038
     273, cam_00273, 0.170669, 0.981006, 0.010732, 0.0915663, -712.152, -21.4017, -57.445
     274, cam_00274, 0.03084, 0.174822, 0.134127, 0.974934, 741.116, -23.4039, -38.598
     275, cam_00275, 0.142976, 0.914623, 0.0397259, 0.376092, -557.356, -119.668, -431.503
     276, cam_00276, 0.135213, 0.803234, -0.113103, -0.568982, -436.645, 216.567, 563.392
     277, cam_00277, 0.149597, 0.970632, -0.0262224, -0.186563, -630.124, 87.1429, 313.859
     278, cam_00278, 0.101351, 0.826534, -0.0870763, -0.546797, -467.773, 168.014, 561.407
